frame_index,block_size,compression_ratio,psnr,ssim,encoding_time,fractal_dimension,domain_pool_size
0,8,4.0,22.655193803761883,0.8028313985431373,15.843573570251465,1.7988234586419787,961
0,16,16.0,17.77427207095935,0.5525657546399732,1.5678975582122803,1.7988234586419787,225
0,32,64.0,16.06189123086422,0.35328385648187977,0.10233163833618164,1.7988234586419787,49
1,8,4.0,23.090743910841876,0.8095072688045505,15.616075992584229,1.8011202438416585,961
1,16,16.0,18.808722761834403,0.5632469865560672,1.0754055976867676,1.8011202438416585,225
1,32,64.0,15.35003137039767,0.35412048682081737,0.058646202087402344,1.8011202438416585,49
2,8,4.0,23.112295927854202,0.8097632964164012,15.492087364196777,1.8009565102612466,961
2,16,16.0,19.296838969330558,0.5621658144879996,1.0251009464263916,1.8009565102612466,225
2,32,64.0,15.313298022181833,0.3565357863195045,0.05634880065917969,1.8009565102612466,49
3,8,4.0,22.359006239659813,0.804908097795003,17.711472749710083,1.8012619833166146,961
3,16,16.0,18.805131341939003,0.5651703770409847,1.0373973846435547,1.8012619833166146,225
3,32,64.0,15.777365213488562,0.3484375679033061,0.05895233154296875,1.8012619833166146,49
4,8,4.0,22.505009678937352,0.8007438554679596,15.523252725601196,1.8005141992608078,961
4,16,16.0,18.748639103839402,0.55993939358252,1.0582060813903809,1.8005141992608078,225
4,32,64.0,15.506116325988245,0.3318289199127877,0.06264948844909668,1.8005141992608078,49
5,8,4.0,23.395201791004936,0.8123686228518587,15.59800100326538,1.8036712413307268,961
5,16,16.0,19.122936620956825,0.5651980772778465,1.2030503749847412,1.8036712413307268,225
5,32,64.0,15.828827422666599,0.3547937345430454,0.09909296035766602,1.8036712413307268,49
6,8,4.0,22.57461935401682,0.8051464966880849,16.176913261413574,1.800832076638839,961
6,16,16.0,19.294822185070974,0.553702956660545,1.0035555362701416,1.800832076638839,225
6,32,64.0,16.151809970085587,0.34973714634054587,0.058281660079956055,1.800832076638839,49
7,8,4.0,22.77557318874726,0.8077269652529733,15.347628593444824,1.8006268266358698,961
7,16,16.0,18.532709092680644,0.5534808822342294,1.0094192028045654,1.8006268266358698,225
7,32,64.0,15.669413656027418,0.34836985724280806,0.059047698974609375,1.8006268266358698,49
8,8,4.0,22.80370758862182,0.8074686257597542,15.323370218276978,1.8002379027660345,961
8,16,16.0,19.272794228558652,0.5561109404596145,1.1969478130340576,1.8002379027660345,225
8,32,64.0,16.01282799272893,0.3490848791185298,0.0950007438659668,1.8002379027660345,49
9,8,4.0,22.65424860516167,0.8069086774869494,16.13338351249695,1.8003384260195483,961
9,16,16.0,19.030251759908822,0.5700269426962108,1.0063085556030273,1.8003384260195483,225
9,32,64.0,16.380620516357695,0.36409242261883057,0.05730319023132324,1.8003384260195483,49
10,8,4.0,23.25689527754693,0.8082032752928161,15.390604019165039,1.802730400956832,961
10,16,16.0,18.409825750439726,0.5520651325600722,1.0113894939422607,1.802730400956832,225
10,32,64.0,15.615073553330227,0.33787542372469626,0.060838937759399414,1.802730400956832,49
11,8,4.0,22.710988960404592,0.8045147724783502,15.243792533874512,1.8025979828620953,961
11,16,16.0,19.127721606179644,0.5617555066416895,1.144460678100586,1.8025979828620953,225
11,32,64.0,16.13129063512485,0.3623371116997395,0.08836936950683594,1.8025979828620953,49
12,8,4.0,23.005742615632325,0.7988074999896119,16.09947156906128,1.8020400494578557,961
12,16,16.0,18.667940076382614,0.5520190610084843,0.9967420101165771,1.8020400494578557,225
12,32,64.0,15.971152549742529,0.3555734423785732,0.05891251564025879,1.8020400494578557,49
13,8,4.0,22.70123443009979,0.8061011409226586,15.239057064056396,1.8021548814180979,961
13,16,16.0,19.212482420836203,0.5569141826289821,1.0145323276519775,1.8021548814180979,225
13,32,64.0,15.127658376962943,0.3454966937720976,0.06254315376281738,1.8021548814180979,49
14,8,4.0,23.08721722670665,0.8045510586878593,15.385560035705566,1.7992644424110251,961
14,16,16.0,18.080491343542818,0.5592725818331593,1.1720621585845947,1.7992644424110251,225
14,32,64.0,15.72984420888961,0.3596231741035108,0.0877678394317627,1.7992644424110251,49
15,8,4.0,22.15416519536069,0.7987798463750031,16.105857610702515,1.7996664693844684,961
15,16,16.0,19.206571079306073,0.561439181182263,1.010481834411621,1.7996664693844684,225
15,32,64.0,15.73358968635854,0.3392617503132418,0.0564875602722168,1.7996664693844684,49
16,8,4.0,22.467937199373328,0.8070799528378884,15.30459475517273,1.7971169147373804,961
16,16,16.0,18.69603650155736,0.5656015500930409,0.9964134693145752,1.7971169147373804,225
16,32,64.0,15.858928490268603,0.3564443879787581,0.059207916259765625,1.7971169147373804,49
17,8,4.0,22.36292835651893,0.8066462144681765,15.415015697479248,1.7994234309190944,961
17,16,16.0,18.57474436957009,0.5553091094401609,1.2935850620269775,1.7994234309190944,225
17,32,64.0,14.766120305771741,0.3597451898894574,0.08858323097229004,1.7994234309190944,49
18,8,4.0,22.664026595229508,0.8072659305493547,15.977619171142578,1.7994308852981007,961
18,16,16.0,18.95120059402509,0.5601684651369971,1.007216453552246,1.7994308852981007,225
18,32,64.0,16.387484199833544,0.35879853613443363,0.06080770492553711,1.7994308852981007,49
19,8,4.0,23.365186586011202,0.8103646034933509,15.331565141677856,1.7996462932967066,961
19,16,16.0,19.18880155985598,0.5623019952346566,1.0185315608978271,1.7996462932967066,225
19,32,64.0,16.227237893658486,0.36163635368068264,0.05614781379699707,1.7996462932967066,49
20,8,4.0,22.29446736569919,0.8007362209436624,15.235020160675049,1.8016953968305336,961
20,16,16.0,18.62038703043951,0.5604616003340345,1.3466510772705078,1.8016953968305336,225
20,32,64.0,16.59512809642015,0.3724042972295501,0.0862128734588623,1.8016953968305336,49
21,8,4.0,22.96835998290973,0.805689685366856,15.779085159301758,1.7994847473493507,961
21,16,16.0,18.742703746953254,0.5603321251772381,1.0135829448699951,1.7994847473493507,225
21,32,64.0,15.804865367133164,0.3554674385377578,0.062439680099487305,1.7994847473493507,49
22,8,4.0,24.01757755650661,0.8156861031168169,15.425787210464478,1.799960596598002,961
22,16,16.0,18.146585696233448,0.5536647745617339,1.036891222000122,1.799960596598002,225
22,32,64.0,15.904660339358085,0.35227135440310897,0.07148361206054688,1.799960596598002,49
23,8,4.0,22.111255994298396,0.801573743072102,15.413373470306396,1.800032011612769,961
23,16,16.0,18.331698439110035,0.5548336962718824,1.4392943382263184,1.800032011612769,225
23,32,64.0,15.89858621802685,0.3506300552776904,0.07852053642272949,1.800032011612769,49
24,8,4.0,22.168064885115875,0.7997513553401855,15.596367359161377,1.801397118840901,961
24,16,16.0,19.298258030173837,0.5679516446562279,1.0477995872497559,1.801397118840901,225
24,32,64.0,15.144886891176215,0.34801247247421796,0.08339190483093262,1.801397118840901,49
25,8,4.0,22.662091358001568,0.8027734253365025,15.263048648834229,1.8020959594626051,961
25,16,16.0,18.43787218237809,0.5603802046241603,1.0060396194458008,1.8020959594626051,225
25,32,64.0,15.349245290175528,0.3437241216331109,0.07209134101867676,1.8020959594626051,49
26,8,4.0,22.113957084152013,0.8014568453091483,15.356781721115112,1.8024727125282238,961
26,16,16.0,18.77455558142862,0.5643841876288369,1.4874887466430664,1.8024727125282238,225
26,32,64.0,16.0841926797039,0.3420201557452412,0.0883183479309082,1.8024727125282238,49
27,8,4.0,22.952115678577805,0.8071180554514935,17.954487800598145,1.79989321461969,961
27,16,16.0,19.113242013385058,0.5626311822077014,1.0156686305999756,1.79989321461969,225
27,32,64.0,14.55527385841367,0.3450294990507718,0.061255693435668945,1.79989321461969,49
28,8,4.0,22.528809405978443,0.7996366396582871,15.506667375564575,1.7992268173188724,961
28,16,16.0,19.245423871854832,0.5702424854441265,1.026219367980957,1.7992268173188724,225
28,32,64.0,15.88555075050551,0.3579194784219174,0.057999372482299805,1.7992268173188724,49
29,8,4.0,22.447044404242007,0.8071426037607445,16.46382761001587,1.7989699099802674,961
29,16,16.0,19.055715116644848,0.5661376820385257,1.0241219997406006,1.7989699099802674,225
29,32,64.0,15.699999102546155,0.343790201450213,0.058261871337890625,1.7989699099802674,49
